PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PPG,APG,PER,FULL_NAME
1641879,2024-25,00,1610612744,GSW,23.0,2,0,16.0,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,4,2,0,0,5,2,1.0,2.0,16.3,Yuri Collins
1628380,2024-25,00,1610612741,CHI,27.0,64,12,977.0,153,302,0.507,32,106,0.302,69,78,0.885,102,186,288,111,29,29,60,132,407,6.4,1.7,20.3,Zach Collins
201144,2024-25,00,1610612750,MIN,37.0,71,64,1756.0,187,468,0.4,127,310,0.41,81,90,0.9,32,150,182,319,79,14,75,111,582,8.2,4.5,16.3,Mike Conley
1626192,2024-25,00,1610612749,MIL,32.0,41,1,603.0,83,177,0.469,26,81,0.321,24,31,0.774,19,90,109,70,9,11,24,45,216,5.3,1.7,15.1,Pat Connaughton
1641731,2024-25,00,1610612764,WAS,20.0,59,59,1948.0,263,624,0.421,63,224,0.281,138,185,0.746,91,203,294,199,78,41,125,139,727,12.3,3.4,14.0,Bilal Coulibaly
1641741,2024-25,00,1610612755,PHI,23.0,73,12,1250.0,177,463,0.382,55,213,0.258,123,153,0.804,51,163,214,97,32,13,52,67,532,7.3,1.3,14.4,Ricky Council IV
1628470,2024-25,00,1610612738,BOS,34.0,26,4,314.0,38,90,0.422,24,66,0.364,8,12,0.667,27,46,73,17,8,12,8,34,108,4.2,0.7,15.8,Torrey Craig
1642384,2024-25,00,1610612758,SAC,23.0,15,0,46.0,5,11,0.455,1,5,0.2,2,4,0.5,1,7,8,1,1,2,1,2,13,0.9,0.1,11.3,Isaiah Crawford
203109,2024-25,00,1610612758,SAC,34.0,9,2,103.0,7,22,0.318,4,15,0.267,5,6,0.833,6,14,20,6,3,0,4,10,23,2.6,0.7,8.3,Jae Crowder
1630595,2024-25,00,1610612765,DET,23.0,70,70,2452.0,684,1457,0.469,149,418,0.356,313,370,0.846,56,369,425,638,71,53,309,195,1830,26.1,9.1,26.6,Cade Cunningham
203552,2024-25,00,1610612766,CHA,34.0,68,14,1062.0,164,343,0.478,83,182,0.456,33,39,0.846,24,89,113,60,27,7,32,59,444,6.5,0.9,15.2,Seth Curry
201939,2024-25,00,1610612744,GSW,37.0,70,70,2252.0,564,1258,0.448,311,784,0.397,279,299,0.933,40,270,310,421,80,30,200,95,1718,24.5,6.0,28.1,Stephen Curry
1642359,2024-25,00,1610612752,NYK,19.0,18,0,111.0,10,31,0.323,6,19,0.316,4,6,0.667,3,15,18,5,3,2,4,7,30,1.7,0.3,8.2,Pacome Dadiet
1630700,2024-25,00,1610612737,ATL,22.0,76,76,2571.0,455,923,0.493,80,235,0.34,83,140,0.593,124,325,449,333,229,55,155,175,1073,14.1,4.4,20.2,Dyson Daniels
